Sourced from the NOAA,
https://psl.noaa.gov/enso/past_events.html,
https://origin.cpc.ncep.noaa.gov/products/analysis_monitoring/ensostuff/ONI_v5.php,
year,enso
1896,Neutral
1897,Nino
1898,Neutral
1899,Neutral
1900,Nino
1901,Neutral
1902,Neutral
1903,Nino
1904,Nina
1905,Neutral
1906,Nino
1907,Neutral
1908,Neutral
1909,Nina
1910,Nina
1911,Nina
1912,Neutral
1913,Neutral
1914,Neutral
1915,Nino
1916,Neutral
1917,Nina
1918,Nina
1919,Nino
1920,Neutral
1921,Neutral
1922,Neutral
1923,Neutral
1924,Neutral
1925,Nina
1926,Nino
1927,Neutral
1928,Neutral
1929,Neutral
1930,Neutral
1931,Nino
1932,Neutral
1933,Neutral
1934,Nina
1935,Neutral
1936,Neutral
1937,Neutral
1938,Neutral
1939,Nina
1940,Neutral
1941,Nino
1942,Nino
1943,Nina
1944,Neutral
1945,Neutral
1946,Neutral
1947,Neutral
1948,Neutral
1949,Neutral
1950,Nina
1951,Nina
1952,Neutral
1953,Neutral
1954,Neutral
1955,Nina
1956,Nina
1957,Neutral
1958,Nino
1959,Neutral
1960,Neutral
1961,Neutral
1962,Nina
1963,Neutral
1964,Neutral
1965,Neutral
1966,Nino
1967,Neutral
1968,Neutral
1969,Neutral
1970,Neutral
1971,Nina
1972,Neutral
1973,Nino
1974,Nina
1975,Neutral
1976,Nina
1977,Neutral
1978,Nino
1979,Neutral
1980,Nino
1981,Neutral
1982,Neutral
1983,Nino
1984,Neutral
1985,Neutral
1986,Neutral
1987,Nino
1988,Nino
1989,Nina
1990,Neutral
1991,Neutral
1992,Nino
1993,Neutral
1994,Neutral
1995,Nino
1996,Neutral
1997,Neutral
1998,Nino
1999,Nina
2000,Nina
2001,Neutral
2002,Neutral
2003,Nino
2004,Neutral
2005,Neutral
2006,Neutral
2007,Nino
2008,Nina
2009,Neutral
2010,Nino
2011,Nina
2012,Nina
2013,Neutral
2014,Neutral
2015,Neutral
2016,Nino
2017,Neutral
2018,Neutral
2019,Neutral
2020,Neutral
2021,Nina
2022,Nina
2023,Nina
2024,Nino